global_step=200, episodic_return=[-861.4152]
global_step=400, episodic_return=[-1368.0927]
global_step=600, episodic_return=[-1115.714]
global_step=800, episodic_return=[-1363.8281]
global_step=1000, episodic_return=[-874.2532]
global_step=1200, episodic_return=[-1164.7649]
global_step=1400, episodic_return=[-1221.4545]
global_step=1600, episodic_return=[-1182.7998]
global_step=1800, episodic_return=[-1516.3915]
global_step=2000, episodic_return=[-1268.8646]
SPS: 241
global_step=2200, episodic_return=[-1280.3303]
global_step=2400, episodic_return=[-872.7676]
global_step=2600, episodic_return=[-1755.9263]
global_step=2800, episodic_return=[-813.9632]
global_step=3000, episodic_return=[-1276.9219]
global_step=3200, episodic_return=[-906.1089]
global_step=3400, episodic_return=[-964.97876]
global_step=3600, episodic_return=[-1010.5085]
global_step=3800, episodic_return=[-1514.6547]
global_step=4000, episodic_return=[-818.2701]
SPS: 246
global_step=4200, episodic_return=[-966.7408]
global_step=4400, episodic_return=[-960.43427]
global_step=4600, episodic_return=[-1253.2067]
global_step=4800, episodic_return=[-870.4434]
global_step=5000, episodic_return=[-1367.501]
global_step=5200, episodic_return=[-1197.6122]
global_step=5400, episodic_return=[-1404.2671]
global_step=5600, episodic_return=[-1293.2203]
global_step=5800, episodic_return=[-1077.4304]
global_step=6000, episodic_return=[-1560.1488]
SPS: 248
global_step=6200, episodic_return=[-977.2669]
global_step=6400, episodic_return=[-1244.0632]
global_step=6600, episodic_return=[-1362.0696]
global_step=6800, episodic_return=[-1112.6975]
global_step=7000, episodic_return=[-1213.0638]
global_step=7200, episodic_return=[-1304.2988]
global_step=7400, episodic_return=[-1418.1409]
global_step=7600, episodic_return=[-875.9795]
global_step=7800, episodic_return=[-859.5094]
global_step=8000, episodic_return=[-1181.0402]
SPS: 243
global_step=8200, episodic_return=[-987.2098]
global_step=8400, episodic_return=[-1119.6464]
global_step=8600, episodic_return=[-1318.5618]
global_step=8800, episodic_return=[-1444.4489]
global_step=9000, episodic_return=[-895.72546]
global_step=9200, episodic_return=[-1073.1969]
global_step=9400, episodic_return=[-967.83514]
global_step=9600, episodic_return=[-1084.2231]
global_step=9800, episodic_return=[-1588.4274]
global_step=10000, episodic_return=[-867.3724]
global_step=10200, episodic_return=[-1094.0444]
SPS: 238
global_step=10400, episodic_return=[-1456.5592]
global_step=10600, episodic_return=[-1265.7075]
global_step=10800, episodic_return=[-957.9147]
global_step=11000, episodic_return=[-1699.7117]
global_step=11200, episodic_return=[-860.24976]
global_step=11400, episodic_return=[-1170.6588]
global_step=11600, episodic_return=[-1224.9113]
global_step=11800, episodic_return=[-1065.3195]
global_step=12000, episodic_return=[-849.12006]
global_step=12200, episodic_return=[-895.0524]
SPS: 237
global_step=12400, episodic_return=[-962.6155]
global_step=12600, episodic_return=[-980.54553]
global_step=12800, episodic_return=[-1518.9154]
global_step=13000, episodic_return=[-1068.3896]
global_step=13200, episodic_return=[-1098.6666]
global_step=13400, episodic_return=[-1574.4883]
global_step=13600, episodic_return=[-1069.396]
global_step=13800, episodic_return=[-902.21466]
global_step=14000, episodic_return=[-974.2837]
global_step=14200, episodic_return=[-1510.6349]
SPS: 235
global_step=14400, episodic_return=[-1091.8949]
global_step=14600, episodic_return=[-924.23126]
global_step=14800, episodic_return=[-965.7413]
global_step=15000, episodic_return=[-996.24695]
global_step=15200, episodic_return=[-1570.6776]
global_step=15400, episodic_return=[-956.3253]
global_step=15600, episodic_return=[-1401.8011]
global_step=15800, episodic_return=[-1179.8173]
global_step=16000, episodic_return=[-919.44]
global_step=16200, episodic_return=[-886.88873]
SPS: 237
global_step=16400, episodic_return=[-1016.99963]
global_step=16600, episodic_return=[-798.768]
global_step=16800, episodic_return=[-991.32025]
global_step=17000, episodic_return=[-1313.4407]
global_step=17200, episodic_return=[-980.8418]
global_step=17400, episodic_return=[-859.08923]
global_step=17600, episodic_return=[-894.8019]
global_step=17800, episodic_return=[-1661.8507]
