global_step=200, episodic_return: -861.6904907226562
global_step=400, episodic_return: -1367.6783447265625
global_step=600, episodic_return: -1115.9378662109375
global_step=800, episodic_return: -1363.710205078125
global_step=1000, episodic_return: -883.2799682617188
global_step=1200, episodic_return: -1164.57080078125
global_step=1400, episodic_return: -1221.17919921875
global_step=1600, episodic_return: -1182.784912109375
global_step=1800, episodic_return: -1516.76220703125
global_step=2000, episodic_return: -1269.006591796875
SPS: 239
global_step=2200, episodic_return: -1295.7318115234375
global_step=2400, episodic_return: -756.0474853515625
global_step=2600, episodic_return: -1767.59912109375
global_step=2800, episodic_return: -877.2368774414062
global_step=3000, episodic_return: -1296.2203369140625
global_step=3200, episodic_return: -902.2394409179688
global_step=3400, episodic_return: -1103.8408203125
global_step=3600, episodic_return: -1008.4031982421875
global_step=3800, episodic_return: -1538.561767578125
global_step=4000, episodic_return: -886.5343017578125
SPS: 254
global_step=4200, episodic_return: -850.4779052734375
global_step=4400, episodic_return: -968.9912109375
global_step=4600, episodic_return: -1274.48388671875
global_step=4800, episodic_return: -880.1094970703125
global_step=5000, episodic_return: -1392.9224853515625
global_step=5200, episodic_return: -1232.1748046875
global_step=5400, episodic_return: -1430.9766845703125
global_step=5600, episodic_return: -1309.27490234375
global_step=5800, episodic_return: -1158.9840087890625
global_step=6000, episodic_return: -1595.0771484375
SPS: 268
global_step=6200, episodic_return: -1089.4278564453125
global_step=6400, episodic_return: -1254.421142578125
global_step=6600, episodic_return: -1372.5966796875
global_step=6800, episodic_return: -1183.37451171875
global_step=7000, episodic_return: -1240.8558349609375
global_step=7200, episodic_return: -1319.275634765625
global_step=7400, episodic_return: -1427.323974609375
global_step=7600, episodic_return: -887.111083984375
global_step=7800, episodic_return: -965.8583374023438
global_step=8000, episodic_return: -1190.474853515625
SPS: 274
global_step=8200, episodic_return: -1046.5126953125
global_step=8400, episodic_return: -1172.2509765625
global_step=8600, episodic_return: -1363.9556884765625
global_step=8800, episodic_return: -1491.644775390625
global_step=9000, episodic_return: -954.5719604492188
global_step=9200, episodic_return: -1146.9058837890625
global_step=9400, episodic_return: -972.7568969726562
global_step=9600, episodic_return: -1181.1036376953125
global_step=9800, episodic_return: -1634.4122314453125
global_step=10000, episodic_return: -1022.1476440429688
global_step=10200, episodic_return: -1144.540283203125
SPS: 270
global_step=10400, episodic_return: -1466.3153076171875
global_step=10600, episodic_return: -1255.641357421875
global_step=10800, episodic_return: -905.1595458984375
global_step=11000, episodic_return: -1699.9266357421875
global_step=11200, episodic_return: -871.009033203125
global_step=11400, episodic_return: -1174.6466064453125
global_step=11600, episodic_return: -1198.70361328125
global_step=11800, episodic_return: -1069.781494140625
global_step=12000, episodic_return: -997.9150390625
global_step=12200, episodic_return: -883.5498657226562
SPS: 267
global_step=12400, episodic_return: -998.134033203125
global_step=12600, episodic_return: -988.95068359375
global_step=12800, episodic_return: -1499.77197265625
global_step=13000, episodic_return: -1022.8560791015625
global_step=13200, episodic_return: -1092.9339599609375
global_step=13400, episodic_return: -1556.362548828125
global_step=13600, episodic_return: -1083.1099853515625
global_step=13800, episodic_return: -1083.1680908203125
global_step=14000, episodic_return: -974.458251953125
global_step=14200, episodic_return: -1499.240478515625
SPS: 265
global_step=14400, episodic_return: -1083.00146484375
global_step=14600, episodic_return: -909.1804809570312
global_step=14800, episodic_return: -882.1393432617188
global_step=15000, episodic_return: -992.2111206054688
global_step=15200, episodic_return: -1564.509521484375
global_step=15400, episodic_return: -980.119384765625
global_step=15600, episodic_return: -1402.8177490234375
global_step=15800, episodic_return: -1177.4019775390625
global_step=16000, episodic_return: -999.7850341796875
global_step=16200, episodic_return: -881.281982421875
SPS: 262
global_step=16400, episodic_return: -1038.8228759765625
global_step=16600, episodic_return: -836.0307006835938
global_step=16800, episodic_return: -898.6947021484375
global_step=17000, episodic_return: -1300.1168212890625
global_step=17200, episodic_return: -1083.7767333984375
global_step=17400, episodic_return: -976.2039184570312
global_step=17600, episodic_return: -899.8645629882812
global_step=17800, episodic_return: -1643.41455078125
global_step=18000, episodic_return: -1648.3121337890625
global_step=18200, episodic_return: -1176.6505126953125
global_step=18400, episodic_return: -1076.45361328125
SPS: 260
global_step=18600, episodic_return: -1628.6363525390625
global_step=18800, episodic_return: -1735.1676025390625
global_step=19000, episodic_return: -1200.97705078125
global_step=19200, episodic_return: -1363.7288818359375
global_step=19400, episodic_return: -1021.64208984375
global_step=19600, episodic_return: -1708.518310546875
global_step=19800, episodic_return: -1015.2322387695312
global_step=20000, episodic_return: -1191.6920166015625
global_step=20200, episodic_return: -926.7077026367188
global_step=20400, episodic_return: -1185.4620361328125
SPS: 260
global_step=20600, episodic_return: -1409.546142578125
global_step=20800, episodic_return: -1045.1971435546875
global_step=21000, episodic_return: -982.9193725585938
global_step=21200, episodic_return: -1526.9189453125
global_step=21400, episodic_return: -1018.528564453125
global_step=21600, episodic_return: -766.789794921875
global_step=21800, episodic_return: -1516.9935302734375
global_step=22000, episodic_return: -1018.8187866210938
global_step=22200, episodic_return: -1345.555419921875
global_step=22400, episodic_return: -1174.3314208984375
SPS: 261
global_step=22600, episodic_return: -1352.1881103515625
global_step=22800, episodic_return: -1138.2724609375
global_step=23000, episodic_return: -1799.5595703125
global_step=23200, episodic_return: -1252.9495849609375
global_step=23400, episodic_return: -894.0384521484375
global_step=23600, episodic_return: -1458.0567626953125
global_step=23800, episodic_return: -895.4015502929688
global_step=24000, episodic_return: -1523.576171875
global_step=24200, episodic_return: -1461.7197265625
global_step=24400, episodic_return: -1465.23193359375
SPS: 260
global_step=24600, episodic_return: -1032.8531494140625
global_step=24800, episodic_return: -991.096923828125
global_step=25000, episodic_return: -1024.157958984375
global_step=25200, episodic_return: -1050.42822265625
global_step=25400, episodic_return: -1177.6387939453125
global_step=25600, episodic_return: -1125.7982177734375
global_step=25800, episodic_return: -1512.6099853515625
global_step=26000, episodic_return: -1123.3494873046875
global_step=26200, episodic_return: -1103.8233642578125
global_step=26400, episodic_return: -1047.4100341796875
global_step=26600, episodic_return: -1097.3857421875
SPS: 260
global_step=26800, episodic_return: -1396.951416015625
global_step=27000, episodic_return: -1135.650146484375
global_step=27200, episodic_return: -1134.731201171875
global_step=27400, episodic_return: -1021.5626831054688
global_step=27600, episodic_return: -1196.7060546875
global_step=27800, episodic_return: -1228.89111328125
global_step=28000, episodic_return: -1178.300537109375
global_step=28200, episodic_return: -1170.03759765625
global_step=28400, episodic_return: -1025.8330078125
global_step=28600, episodic_return: -1734.8216552734375
SPS: 260
global_step=28800, episodic_return: -1121.6759033203125
global_step=29000, episodic_return: -1153.67724609375
global_step=29200, episodic_return: -1124.38525390625
global_step=29400, episodic_return: -1539.17578125
global_step=29600, episodic_return: -1142.40576171875
global_step=29800, episodic_return: -1074.165283203125
global_step=30000, episodic_return: -1495.0159912109375
global_step=30200, episodic_return: -1092.593505859375
global_step=30400, episodic_return: -1107.152099609375
global_step=30600, episodic_return: -1051.3370361328125
SPS: 261
global_step=30800, episodic_return: -1412.5736083984375
global_step=31000, episodic_return: -1196.0606689453125
global_step=31200, episodic_return: -1197.58251953125
global_step=31400, episodic_return: -1176.125732421875
global_step=31600, episodic_return: -1193.1201171875
global_step=31800, episodic_return: -1026.9520263671875
global_step=32000, episodic_return: -1395.3028564453125
global_step=32200, episodic_return: -964.27392578125
