global_step=200, episodic_return: -860.5628662109375
global_step=400, episodic_return: -1369.302001953125
global_step=600, episodic_return: -1117.4246826171875
global_step=800, episodic_return: -1365.212646484375
global_step=1000, episodic_return: -882.6432495117188
global_step=1200, episodic_return: -1166.2626953125
global_step=1400, episodic_return: -1223.3955078125
global_step=1600, episodic_return: -1183.233154296875
global_step=1800, episodic_return: -1517.524169921875
global_step=2000, episodic_return: -1269.6304931640625
SPS: 213
global_step=2200, episodic_return: -1124.8643798828125
global_step=2400, episodic_return: -1621.0657958984375
global_step=2600, episodic_return: -1405.9166259765625
global_step=2800, episodic_return: -1619.529052734375
global_step=3000, episodic_return: -1465.137939453125
global_step=3200, episodic_return: -1599.220458984375
global_step=3400, episodic_return: -1673.57666015625
global_step=3600, episodic_return: -1674.3468017578125
global_step=3800, episodic_return: -1491.6600341796875
global_step=4000, episodic_return: -1270.9853515625
SPS: 216
global_step=4200, episodic_return: -1631.9267578125
global_step=4400, episodic_return: -733.6013793945312
global_step=4600, episodic_return: -1492.2996826171875
global_step=4800, episodic_return: -1591.087646484375
global_step=5000, episodic_return: -966.25341796875
global_step=5200, episodic_return: -1158.517822265625
global_step=5400, episodic_return: -1589.5347900390625
global_step=5600, episodic_return: -1607.660888671875
global_step=5800, episodic_return: -1507.3575439453125
global_step=6000, episodic_return: -1514.1280517578125
SPS: 232
global_step=6200, episodic_return: -1651.17626953125
global_step=6400, episodic_return: -1679.1505126953125
global_step=6600, episodic_return: -1552.0458984375
global_step=6800, episodic_return: -1355.9029541015625
global_step=7000, episodic_return: -1615.599853515625
global_step=7200, episodic_return: -1509.100341796875
global_step=7400, episodic_return: -1228.25439453125
global_step=7600, episodic_return: -1632.93701171875
global_step=7800, episodic_return: -1688.451171875
global_step=8000, episodic_return: -1576.998779296875
SPS: 238
global_step=8200, episodic_return: -1668.89306640625
global_step=8400, episodic_return: -1634.599365234375
global_step=8600, episodic_return: -1563.202392578125
global_step=8800, episodic_return: -1569.7974853515625
global_step=9000, episodic_return: -950.62109375
global_step=9200, episodic_return: -1676.73486328125
global_step=9400, episodic_return: -1387.81884765625
global_step=9600, episodic_return: -1231.6810302734375
global_step=9800, episodic_return: -1503.3077392578125
global_step=10000, episodic_return: -948.9920654296875
global_step=10200, episodic_return: -1672.4378662109375
SPS: 246
global_step=10400, episodic_return: -1068.075439453125
global_step=10600, episodic_return: -1588.6927490234375
global_step=10800, episodic_return: -1618.319580078125
global_step=11000, episodic_return: -1497.91748046875
global_step=11200, episodic_return: -1231.0909423828125
global_step=11400, episodic_return: -1236.693115234375
global_step=11600, episodic_return: -1676.7381591796875
global_step=11800, episodic_return: -951.5551147460938
global_step=12000, episodic_return: -1677.468017578125
global_step=12200, episodic_return: -1663.81884765625
SPS: 251
global_step=12400, episodic_return: -1670.8350830078125
global_step=12600, episodic_return: -1478.19580078125
global_step=12800, episodic_return: -1512.4169921875
global_step=13000, episodic_return: -1194.7503662109375
global_step=13200, episodic_return: -1169.666259765625
global_step=13400, episodic_return: -1428.890625
global_step=13600, episodic_return: -1625.317138671875
global_step=13800, episodic_return: -1669.772705078125
global_step=14000, episodic_return: -1681.28759765625
global_step=14200, episodic_return: -1493.32421875
SPS: 254
global_step=14400, episodic_return: -1352.18359375
global_step=14600, episodic_return: -1539.0985107421875
global_step=14800, episodic_return: -1186.60595703125
global_step=15000, episodic_return: -1532.0966796875
global_step=15200, episodic_return: -1428.28662109375
global_step=15400, episodic_return: -1185.4906005859375
global_step=15600, episodic_return: -1514.0394287109375
global_step=15800, episodic_return: -1427.35595703125
global_step=16000, episodic_return: -1305.338623046875
global_step=16200, episodic_return: -745.4551391601562
SPS: 256
global_step=16400, episodic_return: -1423.2791748046875
global_step=16600, episodic_return: -1604.0374755859375
global_step=16800, episodic_return: -1641.3201904296875
global_step=17000, episodic_return: -1600.4620361328125
global_step=17200, episodic_return: -1288.659423828125
global_step=17400, episodic_return: -1004.2138061523438
global_step=17600, episodic_return: -1665.5748291015625
global_step=17800, episodic_return: -1472.453125
global_step=18000, episodic_return: -1493.8489990234375
global_step=18200, episodic_return: -1259.880859375
global_step=18400, episodic_return: -1609.68603515625
SPS: 255
global_step=18600, episodic_return: -1463.8470458984375
global_step=18800, episodic_return: -1495.5592041015625
global_step=19000, episodic_return: -1507.7103271484375
global_step=19200, episodic_return: -1409.9771728515625
global_step=19400, episodic_return: -1662.9149169921875
global_step=19600, episodic_return: -1446.927734375
global_step=19800, episodic_return: -1667.96923828125
global_step=20000, episodic_return: -1075.6138916015625
global_step=20200, episodic_return: -1559.78369140625
global_step=20400, episodic_return: -1373.272216796875
SPS: 255
global_step=20600, episodic_return: -1520.698974609375
global_step=20800, episodic_return: -875.2338256835938
global_step=21000, episodic_return: -1347.3101806640625
global_step=21200, episodic_return: -1334.1519775390625
global_step=21400, episodic_return: -1488.298095703125
global_step=21600, episodic_return: -1587.58984375
global_step=21800, episodic_return: -1410.8653564453125
global_step=22000, episodic_return: -1141.6025390625
global_step=22200, episodic_return: -1506.8841552734375
global_step=22400, episodic_return: -1393.71630859375
SPS: 257
global_step=22600, episodic_return: -1048.4039306640625
global_step=22800, episodic_return: -1684.8717041015625
global_step=23000, episodic_return: -1379.341552734375
global_step=23200, episodic_return: -1593.0040283203125
global_step=23400, episodic_return: -1613.91845703125
global_step=23600, episodic_return: -1494.802978515625
global_step=23800, episodic_return: -1110.1971435546875
global_step=24000, episodic_return: -1496.052734375
global_step=24200, episodic_return: -1160.7120361328125
global_step=24400, episodic_return: -1286.30517578125
SPS: 260
global_step=24600, episodic_return: -1673.35400390625
global_step=24800, episodic_return: -1689.28125
global_step=25000, episodic_return: -1553.856201171875
global_step=25200, episodic_return: -1444.76513671875
global_step=25400, episodic_return: -1636.2496337890625
global_step=25600, episodic_return: -1499.4332275390625
global_step=25800, episodic_return: -1437.38720703125
global_step=26000, episodic_return: -1628.200439453125
