global_step=200, episodic_return: -861.4152221679688
global_step=400, episodic_return: -1368.0926513671875
global_step=600, episodic_return: -1115.7139892578125
global_step=800, episodic_return: -1363.828125
global_step=1000, episodic_return: -874.253173828125
global_step=1200, episodic_return: -1164.764892578125
global_step=1400, episodic_return: -1221.4544677734375
global_step=1600, episodic_return: -1182.7998046875
global_step=1800, episodic_return: -1516.3914794921875
global_step=2000, episodic_return: -1268.8646240234375
SPS: 210
global_step=2200, episodic_return: -1280.330322265625
global_step=2400, episodic_return: -872.767578125
global_step=2600, episodic_return: -1755.92626953125
global_step=2800, episodic_return: -813.9631958007812
global_step=3000, episodic_return: -1276.921875
global_step=3200, episodic_return: -906.10888671875
global_step=3400, episodic_return: -964.978759765625
global_step=3600, episodic_return: -1010.5084838867188
global_step=3800, episodic_return: -1514.6546630859375
global_step=4000, episodic_return: -818.2700805664062
SPS: 230
global_step=4200, episodic_return: -967.0477905273438
global_step=4400, episodic_return: -960.3960571289062
global_step=4600, episodic_return: -1253.17919921875
global_step=4800, episodic_return: -870.7706909179688
global_step=5000, episodic_return: -1367.4864501953125
global_step=5200, episodic_return: -1197.580810546875
global_step=5400, episodic_return: -1404.2528076171875
global_step=5600, episodic_return: -1293.208740234375
global_step=5800, episodic_return: -1077.2901611328125
global_step=6000, episodic_return: -1560.1502685546875
SPS: 232
global_step=6200, episodic_return: -976.8596801757812
global_step=6400, episodic_return: -1243.4547119140625
global_step=6600, episodic_return: -1361.6334228515625
global_step=6800, episodic_return: -1109.62060546875
global_step=7000, episodic_return: -1212.004150390625
global_step=7200, episodic_return: -1303.819091796875
global_step=7400, episodic_return: -1417.7938232421875
global_step=7600, episodic_return: -816.8406982421875
global_step=7800, episodic_return: -860.1679077148438
global_step=8000, episodic_return: -1180.7808837890625
SPS: 225
global_step=8200, episodic_return: -903.4929809570312
global_step=8400, episodic_return: -1133.580322265625
global_step=8600, episodic_return: -1321.269287109375
global_step=8800, episodic_return: -1447.40478515625
global_step=9000, episodic_return: -974.7101440429688
global_step=9200, episodic_return: -1074.310546875
global_step=9400, episodic_return: -968.91357421875
global_step=9600, episodic_return: -1096.0460205078125
global_step=9800, episodic_return: -1591.5755615234375
global_step=10000, episodic_return: -901.68017578125
global_step=10200, episodic_return: -1099.1151123046875
SPS: 229
global_step=10400, episodic_return: -1469.826416015625
global_step=10600, episodic_return: -1288.7557373046875
global_step=10800, episodic_return: -893.4188232421875
global_step=11000, episodic_return: -1707.481689453125
global_step=11200, episodic_return: -864.7024536132812
global_step=11400, episodic_return: -1171.4776611328125
global_step=11600, episodic_return: -1277.7264404296875
global_step=11800, episodic_return: -1070.0555419921875
global_step=12000, episodic_return: -964.4779052734375
global_step=12200, episodic_return: -893.5709228515625
SPS: 233
global_step=12400, episodic_return: -1078.6522216796875
global_step=12600, episodic_return: -922.1442260742188
global_step=12800, episodic_return: -1526.6546630859375
global_step=13000, episodic_return: -1069.202880859375
global_step=13200, episodic_return: -1091.1761474609375
global_step=13400, episodic_return: -1577.5479736328125
global_step=13600, episodic_return: -1082.172119140625
global_step=13800, episodic_return: -860.1779174804688
global_step=14000, episodic_return: -970.0167236328125
global_step=14200, episodic_return: -1516.9505615234375
SPS: 236
