global_step=200, episodic_return: -861.1253051757812
global_step=400, episodic_return: -1367.85595703125
global_step=600, episodic_return: -1116.317138671875
global_step=800, episodic_return: -1364.1041259765625
global_step=1000, episodic_return: -873.9068603515625
global_step=1200, episodic_return: -1164.962890625
global_step=1400, episodic_return: -1221.7183837890625
global_step=1600, episodic_return: -1182.995849609375
global_step=1800, episodic_return: -1516.752685546875
global_step=2000, episodic_return: -1269.126220703125
SPS: 171
global_step=2200, episodic_return: -1285.2926025390625
global_step=2400, episodic_return: -866.0938720703125
global_step=2600, episodic_return: -1763.4068603515625
global_step=2800, episodic_return: -824.5265502929688
global_step=3000, episodic_return: -1285.6954345703125
global_step=3200, episodic_return: -911.4674682617188
global_step=3400, episodic_return: -1069.037353515625
global_step=3600, episodic_return: -997.33935546875
global_step=3800, episodic_return: -1516.9591064453125
global_step=4000, episodic_return: -799.6754150390625
SPS: 185
global_step=4200, episodic_return: -998.7659301757812
global_step=4400, episodic_return: -867.457275390625
global_step=4600, episodic_return: -1246.09912109375
global_step=4800, episodic_return: -903.538818359375
global_step=5000, episodic_return: -1346.5303955078125
global_step=5200, episodic_return: -1179.4693603515625
global_step=5400, episodic_return: -1382.2606201171875
global_step=5600, episodic_return: -1292.264892578125
global_step=5800, episodic_return: -1080.7784423828125
global_step=6000, episodic_return: -1570.5301513671875
SPS: 191
global_step=6200, episodic_return: -988.7626953125
global_step=6400, episodic_return: -1212.345947265625
global_step=6600, episodic_return: -1335.8321533203125
global_step=6800, episodic_return: -1079.9881591796875
global_step=7000, episodic_return: -1178.43701171875
global_step=7200, episodic_return: -1291.173583984375
global_step=7400, episodic_return: -1400.630615234375
global_step=7600, episodic_return: -873.6698608398438
global_step=7800, episodic_return: -913.5509033203125
global_step=8000, episodic_return: -1180.831298828125
SPS: 192
global_step=8200, episodic_return: -1049.1527099609375
global_step=8400, episodic_return: -1171.85498046875
global_step=8600, episodic_return: -1344.9482421875
global_step=8800, episodic_return: -1448.35205078125
global_step=9000, episodic_return: -978.7037963867188
global_step=9200, episodic_return: -1092.54345703125
global_step=9400, episodic_return: -970.3624877929688
global_step=9600, episodic_return: -1165.5084228515625
global_step=9800, episodic_return: -1623.2464599609375
global_step=10000, episodic_return: -1045.6341552734375
global_step=10200, episodic_return: -1135.0047607421875
SPS: 190
global_step=10400, episodic_return: -1497.71240234375
global_step=10600, episodic_return: -1299.20068359375
global_step=10800, episodic_return: -895.970703125
global_step=11000, episodic_return: -1704.3271484375
global_step=11200, episodic_return: -968.4170532226562
