global_step=200, episodic_return: -780.8609008789062
global_step=400, episodic_return: -1371.875
global_step=600, episodic_return: -1122.989501953125
global_step=800, episodic_return: -1369.29736328125
global_step=1000, episodic_return: -870.876953125
global_step=1200, episodic_return: -1169.1453857421875
global_step=1400, episodic_return: -1228.190185546875
global_step=1600, episodic_return: -1186.126708984375
global_step=1800, episodic_return: -1518.9534912109375
global_step=2000, episodic_return: -1272.1409912109375
SPS: 206
global_step=2200, episodic_return: -1294.6270751953125
global_step=2400, episodic_return: -799.1845703125
global_step=2600, episodic_return: -1770.0257568359375
global_step=2800, episodic_return: -904.2098388671875
global_step=3000, episodic_return: -1290.7630615234375
global_step=3200, episodic_return: -902.1162719726562
global_step=3400, episodic_return: -1135.9505615234375
global_step=3600, episodic_return: -1007.9444580078125
global_step=3800, episodic_return: -1535.5711669921875
global_step=4000, episodic_return: -903.4362182617188
SPS: 213
global_step=4200, episodic_return: -873.923828125
global_step=4400, episodic_return: -969.4341430664062
global_step=4600, episodic_return: -1267.352294921875
global_step=4800, episodic_return: -880.872314453125
global_step=5000, episodic_return: -1374.41943359375
global_step=5200, episodic_return: -1220.4873046875
global_step=5400, episodic_return: -1416.822265625
global_step=5600, episodic_return: -1300.3768310546875
global_step=5800, episodic_return: -1176.7791748046875
global_step=6000, episodic_return: -1583.3975830078125
SPS: 215
global_step=6200, episodic_return: -990.3369140625
global_step=6400, episodic_return: -1261.622802734375
global_step=6600, episodic_return: -1376.190185546875
global_step=6800, episodic_return: -1156.187744140625
global_step=7000, episodic_return: -1246.85693359375
global_step=7200, episodic_return: -1316.6954345703125
global_step=7400, episodic_return: -1429.41015625
global_step=7600, episodic_return: -866.813232421875
global_step=7800, episodic_return: -971.138916015625
global_step=8000, episodic_return: -1193.6038818359375
SPS: 214
global_step=8200, episodic_return: -1040.152587890625
global_step=8400, episodic_return: -1110.474365234375
global_step=8600, episodic_return: -1318.81787109375
global_step=8800, episodic_return: -1431.9520263671875
global_step=9000, episodic_return: -948.8382568359375
global_step=9200, episodic_return: -1071.9779052734375
global_step=9400, episodic_return: -968.0123901367188
global_step=9600, episodic_return: -1078.99609375
global_step=9800, episodic_return: -1580.1812744140625
global_step=10000, episodic_return: -1037.6175537109375
global_step=10200, episodic_return: -1085.9556884765625
SPS: 211
global_step=10400, episodic_return: -1453.632080078125
global_step=10600, episodic_return: -1240.95556640625
global_step=10800, episodic_return: -898.3665161132812
global_step=11000, episodic_return: -1687.9715576171875
global_step=11200, episodic_return: -833.8406982421875
global_step=11400, episodic_return: -1172.4346923828125
global_step=11600, episodic_return: -1193.682373046875
global_step=11800, episodic_return: -1062.512939453125
global_step=12000, episodic_return: -993.5778198242188
global_step=12200, episodic_return: -858.2884521484375
SPS: 207
global_step=12400, episodic_return: -1098.8428955078125
global_step=12600, episodic_return: -920.5089721679688
global_step=12800, episodic_return: -1479.4090576171875
global_step=13000, episodic_return: -958.358154296875
global_step=13200, episodic_return: -1074.4481201171875
global_step=13400, episodic_return: -1544.362548828125
global_step=13600, episodic_return: -1075.55224609375
global_step=13800, episodic_return: -929.308837890625
global_step=14000, episodic_return: -973.2060546875
global_step=14200, episodic_return: -1476.482421875
SPS: 205
global_step=14400, episodic_return: -1059.6153564453125
global_step=14600, episodic_return: -890.6437377929688
global_step=14800, episodic_return: -954.5230102539062
global_step=15000, episodic_return: -1008.08984375
global_step=15200, episodic_return: -1555.069580078125
global_step=15400, episodic_return: -964.5546264648438
global_step=15600, episodic_return: -1380.1300048828125
global_step=15800, episodic_return: -1173.40234375
global_step=16000, episodic_return: -908.2213134765625
global_step=16200, episodic_return: -913.2838745117188
SPS: 203
global_step=16400, episodic_return: -965.4562377929688
global_step=16600, episodic_return: -705.693359375
global_step=16800, episodic_return: -924.7698364257812
global_step=17000, episodic_return: -1293.682373046875
global_step=17200, episodic_return: -987.512451171875
global_step=17400, episodic_return: -966.6343383789062
global_step=17600, episodic_return: -906.0518188476562
global_step=17800, episodic_return: -1648.773681640625
global_step=18000, episodic_return: -1661.4510498046875
global_step=18200, episodic_return: -1211.3221435546875
global_step=18400, episodic_return: -1108.64990234375
SPS: 203
global_step=18600, episodic_return: -1633.98828125
global_step=18800, episodic_return: -1715.232666015625
global_step=19000, episodic_return: -1204.4564208984375
global_step=19200, episodic_return: -1364.813720703125
global_step=19400, episodic_return: -899.85595703125
global_step=19600, episodic_return: -1687.9090576171875
global_step=19800, episodic_return: -921.1162719726562
global_step=20000, episodic_return: -1187.6337890625
global_step=20200, episodic_return: -768.1575317382812
global_step=20400, episodic_return: -1196.1328125
SPS: 203
global_step=20600, episodic_return: -1427.840087890625
global_step=20800, episodic_return: -914.0387573242188
global_step=21000, episodic_return: -968.4277954101562
global_step=21200, episodic_return: -1520.4273681640625
global_step=21400, episodic_return: -1036.9906005859375
global_step=21600, episodic_return: -967.7815551757812
global_step=21800, episodic_return: -1498.6484375
global_step=22000, episodic_return: -1000.660888671875
global_step=22200, episodic_return: -1348.65771484375
global_step=22400, episodic_return: -1185.8948974609375
SPS: 203
global_step=22600, episodic_return: -1357.670654296875
global_step=22800, episodic_return: -1078.3133544921875
global_step=23000, episodic_return: -1807.3353271484375
global_step=23200, episodic_return: -1308.2760009765625
global_step=23400, episodic_return: -905.443603515625
global_step=23600, episodic_return: -1482.5411376953125
global_step=23800, episodic_return: -975.9639892578125
global_step=24000, episodic_return: -1548.1220703125
global_step=24200, episodic_return: -1452.484130859375
global_step=24400, episodic_return: -1471.63330078125
SPS: 203
global_step=24600, episodic_return: -980.7677612304688
global_step=24800, episodic_return: -1100.1163330078125
global_step=25000, episodic_return: -1057.2227783203125
global_step=25200, episodic_return: -912.8929443359375
global_step=25400, episodic_return: -871.3821411132812
global_step=25600, episodic_return: -985.9020385742188
global_step=25800, episodic_return: -1507.1220703125
global_step=26000, episodic_return: -1081.57373046875
global_step=26200, episodic_return: -1044.95849609375
global_step=26400, episodic_return: -1059.21923828125
global_step=26600, episodic_return: -1116.0323486328125
SPS: 196
global_step=26800, episodic_return: -1394.7164306640625
global_step=27000, episodic_return: -990.7589111328125
global_step=27200, episodic_return: -1153.931884765625
global_step=27400, episodic_return: -886.3065795898438
global_step=27600, episodic_return: -1179.9219970703125
global_step=27800, episodic_return: -1255.107421875
global_step=28000, episodic_return: -1278.5145263671875
global_step=28200, episodic_return: -915.2613525390625
global_step=28400, episodic_return: -899.5260620117188
global_step=28600, episodic_return: -1693.697998046875
SPS: 189
global_step=28800, episodic_return: -1118.0343017578125
global_step=29000, episodic_return: -954.9370727539062
global_step=29200, episodic_return: -1203.419921875
global_step=29400, episodic_return: -1547.0662841796875
global_step=29600, episodic_return: -897.1495361328125
global_step=29800, episodic_return: -931.2816162109375
global_step=30000, episodic_return: -1515.533447265625
global_step=30200, episodic_return: -1105.54541015625
global_step=30400, episodic_return: -1052.60302734375
global_step=30600, episodic_return: -915.32470703125
SPS: 184
global_step=30800, episodic_return: -1487.918701171875
global_step=31000, episodic_return: -1335.9781494140625
global_step=31200, episodic_return: -902.1878662109375
global_step=31400, episodic_return: -906.7418212890625
global_step=31600, episodic_return: -1042.27685546875
global_step=31800, episodic_return: -896.291015625
global_step=32000, episodic_return: -1442.05859375
global_step=32200, episodic_return: -1193.1370849609375
global_step=32400, episodic_return: -1465.35546875
global_step=32600, episodic_return: -890.8612060546875
SPS: 180
global_step=32800, episodic_return: -841.1682739257812
global_step=33000, episodic_return: -1464.48974609375
global_step=33200, episodic_return: -1059.292724609375
global_step=33400, episodic_return: -1080.257568359375
global_step=33600, episodic_return: -1017.2172241210938
global_step=33800, episodic_return: -877.13134765625
global_step=34000, episodic_return: -1093.10498046875
global_step=34200, episodic_return: -1083.3165283203125
global_step=34400, episodic_return: -1093.2322998046875
global_step=34600, episodic_return: -939.2628173828125
global_step=34800, episodic_return: -900.0194702148438
SPS: 176
global_step=35000, episodic_return: -1015.7855834960938
global_step=35200, episodic_return: -977.0130615234375
global_step=35400, episodic_return: -928.85498046875
global_step=35600, episodic_return: -1276.663330078125
global_step=35800, episodic_return: -1045.6630859375
global_step=36000, episodic_return: -894.3240966796875
global_step=36200, episodic_return: -1212.4447021484375
global_step=36400, episodic_return: -1070.3673095703125
global_step=36600, episodic_return: -1315.9576416015625
global_step=36800, episodic_return: -1193.2735595703125
SPS: 173
global_step=37000, episodic_return: -898.4637451171875
global_step=37200, episodic_return: -1000.2320556640625
global_step=37400, episodic_return: -1096.658203125
global_step=37600, episodic_return: -902.152099609375
global_step=37800, episodic_return: -1237.5194091796875
global_step=38000, episodic_return: -1031.3135986328125
global_step=38200, episodic_return: -1046.4063720703125
global_step=38400, episodic_return: -1070.919677734375
global_step=38600, episodic_return: -1093.52490234375
global_step=38800, episodic_return: -895.2860107421875
SPS: 173
global_step=39000, episodic_return: -979.80859375
global_step=39200, episodic_return: -920.6832275390625
global_step=39400, episodic_return: -1024.189208984375
global_step=39600, episodic_return: -952.3317260742188
global_step=39800, episodic_return: -1094.1580810546875
global_step=40000, episodic_return: -1010.7329711914062
global_step=40200, episodic_return: -1399.896240234375
global_step=40400, episodic_return: -904.0503540039062
global_step=40600, episodic_return: -1014.6045532226562
global_step=40800, episodic_return: -1019.4799194335938
SPS: 174
global_step=41000, episodic_return: -1048.4232177734375
global_step=41200, episodic_return: -1406.828369140625
global_step=41400, episodic_return: -1070.4254150390625
global_step=41600, episodic_return: -1311.08642578125
global_step=41800, episodic_return: -1652.6082763671875
global_step=42000, episodic_return: -1344.0601806640625
global_step=42200, episodic_return: -1037.889404296875
global_step=42400, episodic_return: -881.1052856445312
global_step=42600, episodic_return: -966.45458984375
global_step=42800, episodic_return: -864.3526000976562
global_step=43000, episodic_return: -779.194580078125
SPS: 175
global_step=43200, episodic_return: -1013.190673828125
global_step=43400, episodic_return: -1017.2838134765625
global_step=43600, episodic_return: -1010.6048583984375
global_step=43800, episodic_return: -1194.210205078125
global_step=44000, episodic_return: -1450.3050537109375
global_step=44200, episodic_return: -1408.6380615234375
global_step=44400, episodic_return: -1069.3446044921875
global_step=44600, episodic_return: -1010.0435180664062
global_step=44800, episodic_return: -1034.957763671875
global_step=45000, episodic_return: -1217.709716796875
SPS: 174
global_step=45200, episodic_return: -1128.5853271484375
global_step=45400, episodic_return: -1107.9002685546875
global_step=45600, episodic_return: -1010.5005493164062
global_step=45800, episodic_return: -1053.3370361328125
global_step=46000, episodic_return: -1476.2490234375
global_step=46200, episodic_return: -948.8430786132812
global_step=46400, episodic_return: -1038.6236572265625
global_step=46600, episodic_return: -1032.998291015625
global_step=46800, episodic_return: -1477.8006591796875
global_step=47000, episodic_return: -1071.2191162109375
SPS: 173
global_step=47200, episodic_return: -1098.8116455078125
global_step=47400, episodic_return: -1192.2640380859375
global_step=47600, episodic_return: -1119.2620849609375
global_step=47800, episodic_return: -1230.765380859375
global_step=48000, episodic_return: -1088.0006103515625
global_step=48200, episodic_return: -1207.8870849609375
global_step=48400, episodic_return: -1162.735595703125
global_step=48600, episodic_return: -1124.982421875
global_step=48800, episodic_return: -1338.451904296875
global_step=49000, episodic_return: -1037.6011962890625
SPS: 171
global_step=49200, episodic_return: -1079.0235595703125
global_step=49400, episodic_return: -1194.2783203125
global_step=49600, episodic_return: -1190.03466796875
global_step=49800, episodic_return: -1112.0377197265625
global_step=50000, episodic_return: -1136.9715576171875
global_step=50200, episodic_return: -1035.0704345703125
global_step=50400, episodic_return: -1008.0802001953125
global_step=50600, episodic_return: -1199.568359375
global_step=50800, episodic_return: -1032.9288330078125
global_step=51000, episodic_return: -1192.88525390625
global_step=51200, episodic_return: -1051.6197509765625
SPS: 170
global_step=51400, episodic_return: -1213.850830078125
global_step=51600, episodic_return: -1057.27197265625
global_step=51800, episodic_return: -1202.08935546875
global_step=52000, episodic_return: -1041.0802001953125
global_step=52200, episodic_return: -1197.54638671875
global_step=52400, episodic_return: -1084.1065673828125
global_step=52600, episodic_return: -1189.1876220703125
global_step=52800, episodic_return: -1071.85498046875
global_step=53000, episodic_return: -1129.77490234375
global_step=53200, episodic_return: -945.2890014648438
SPS: 169
global_step=53400, episodic_return: -1033.51123046875
global_step=53600, episodic_return: -917.2598266601562
global_step=53800, episodic_return: -1607.5665283203125
global_step=54000, episodic_return: -1295.2236328125
global_step=54200, episodic_return: -1211.577392578125
global_step=54400, episodic_return: -1016.88232421875
global_step=54600, episodic_return: -1021.971923828125
global_step=54800, episodic_return: -1139.86865234375
global_step=55000, episodic_return: -1068.353515625
global_step=55200, episodic_return: -1080.7578125
SPS: 168
global_step=55400, episodic_return: -1154.06103515625
global_step=55600, episodic_return: -1151.497802734375
global_step=55800, episodic_return: -1057.3172607421875
global_step=56000, episodic_return: -1083.25634765625
global_step=56200, episodic_return: -1197.8096923828125
global_step=56400, episodic_return: -1248.2657470703125
global_step=56600, episodic_return: -1064.8887939453125
global_step=56800, episodic_return: -1209.029052734375
global_step=57000, episodic_return: -1034.4937744140625
global_step=57200, episodic_return: -1034.531982421875
SPS: 167
global_step=57400, episodic_return: -1049.225341796875
global_step=57600, episodic_return: -1173.265625
global_step=57800, episodic_return: -890.572509765625
global_step=58000, episodic_return: -1130.1595458984375
global_step=58200, episodic_return: -1174.446044921875
global_step=58400, episodic_return: -1057.134033203125
global_step=58600, episodic_return: -1157.76904296875
global_step=58800, episodic_return: -1132.345947265625
global_step=59000, episodic_return: -1235.48388671875
global_step=59200, episodic_return: -1618.093017578125
SPS: 166
global_step=59400, episodic_return: -1033.008056640625
global_step=59600, episodic_return: -1008.646728515625
global_step=59800, episodic_return: -1176.795166015625
global_step=60000, episodic_return: -1059.0631103515625
global_step=60200, episodic_return: -1171.22802734375
global_step=60400, episodic_return: -1182.684326171875
global_step=60600, episodic_return: -1087.336181640625
global_step=60800, episodic_return: -1187.28857421875
global_step=61000, episodic_return: -1195.0374755859375
global_step=61200, episodic_return: -1203.1981201171875
global_step=61400, episodic_return: -1140.205810546875
SPS: 165
global_step=61600, episodic_return: -1300.902587890625
global_step=61800, episodic_return: -1175.2685546875
global_step=62000, episodic_return: -1116.8682861328125
global_step=62200, episodic_return: -1151.5206298828125
global_step=62400, episodic_return: -1358.2738037109375
global_step=62600, episodic_return: -1029.9591064453125
global_step=62800, episodic_return: -1110.42578125
global_step=63000, episodic_return: -1187.737060546875
global_step=63200, episodic_return: -1120.18212890625
global_step=63400, episodic_return: -1211.8245849609375
SPS: 164
global_step=63600, episodic_return: -1203.5687255859375
global_step=63800, episodic_return: -1110.342041015625
global_step=64000, episodic_return: -1176.1715087890625
global_step=64200, episodic_return: -1109.1943359375
global_step=64400, episodic_return: -1205.843017578125
global_step=64600, episodic_return: -1254.59716796875
global_step=64800, episodic_return: -1247.6614990234375
global_step=65000, episodic_return: -1193.3980712890625
global_step=65200, episodic_return: -1335.8087158203125
global_step=65400, episodic_return: -1200.3465576171875
SPS: 161
global_step=65600, episodic_return: -989.4542236328125
global_step=65800, episodic_return: -1180.555419921875
global_step=66000, episodic_return: -1041.260498046875
global_step=66200, episodic_return: -1156.881103515625
global_step=66400, episodic_return: -1354.2823486328125
global_step=66600, episodic_return: -1172.7908935546875
global_step=66800, episodic_return: -1176.6807861328125
global_step=67000, episodic_return: -1268.7864990234375
global_step=67200, episodic_return: -1187.4146728515625
global_step=67400, episodic_return: -1076.1585693359375
SPS: 158
global_step=67600, episodic_return: -1058.2467041015625
global_step=67800, episodic_return: -1211.87353515625
global_step=68000, episodic_return: -1070.0565185546875
global_step=68200, episodic_return: -1111.5401611328125
global_step=68400, episodic_return: -995.1254272460938
global_step=68600, episodic_return: -1056.109619140625
global_step=68800, episodic_return: -929.9881591796875
global_step=69000, episodic_return: -1085.474609375
global_step=69200, episodic_return: -1028.534912109375
global_step=69400, episodic_return: -1167.122314453125
global_step=69600, episodic_return: -998.737060546875
SPS: 155
global_step=69800, episodic_return: -897.346435546875
global_step=70000, episodic_return: -1029.0101318359375
global_step=70200, episodic_return: -1259.990966796875
global_step=70400, episodic_return: -1004.4986572265625
global_step=70600, episodic_return: -1175.210693359375
global_step=70800, episodic_return: -1216.378662109375
global_step=71000, episodic_return: -1029.2950439453125
global_step=71200, episodic_return: -1011.8861083984375
global_step=71400, episodic_return: -1134.05859375
global_step=71600, episodic_return: -1034.34521484375
SPS: 152
global_step=71800, episodic_return: -983.9578857421875
global_step=72000, episodic_return: -993.7639770507812
global_step=72200, episodic_return: -913.9317626953125
global_step=72400, episodic_return: -1210.92578125
global_step=72600, episodic_return: -1059.792236328125
global_step=72800, episodic_return: -1230.13232421875
global_step=73000, episodic_return: -1164.1121826171875
global_step=73200, episodic_return: -1122.844970703125
global_step=73400, episodic_return: -1022.8877563476562
global_step=73600, episodic_return: -1047.341552734375
SPS: 149
global_step=73800, episodic_return: -912.2643432617188
global_step=74000, episodic_return: -1062.853759765625
global_step=74200, episodic_return: -1144.0908203125
global_step=74400, episodic_return: -988.5878295898438
global_step=74600, episodic_return: -1159.24169921875
global_step=74800, episodic_return: -1149.2296142578125
global_step=75000, episodic_return: -1089.2613525390625
global_step=75200, episodic_return: -1043.346923828125
global_step=75400, episodic_return: -1002.9802856445312
global_step=75600, episodic_return: -1229.731689453125
SPS: 146
global_step=75800, episodic_return: -1113.945068359375
global_step=76000, episodic_return: -994.0174560546875
global_step=76200, episodic_return: -1002.7131958007812
global_step=76400, episodic_return: -1053.8399658203125
global_step=76600, episodic_return: -1237.688232421875
global_step=76800, episodic_return: -1318.31640625
