global_step=200, episodic_return: -860.0294189453125
global_step=400, episodic_return: -1369.700927734375
global_step=600, episodic_return: -1117.44873046875
global_step=800, episodic_return: -1365.495361328125
global_step=1000, episodic_return: -868.6434936523438
global_step=1200, episodic_return: -1166.4794921875
global_step=1400, episodic_return: -1223.28955078125
global_step=1600, episodic_return: -1183.207275390625
global_step=1800, episodic_return: -1517.532470703125
global_step=2000, episodic_return: -1269.590087890625
SPS: 128
global_step=2200, episodic_return: -1296.5126953125
global_step=2400, episodic_return: -884.7608642578125
global_step=2600, episodic_return: -1771.392822265625
global_step=2800, episodic_return: -901.24853515625
global_step=3000, episodic_return: -1296.6534423828125
global_step=3200, episodic_return: -897.0393676757812
global_step=3400, episodic_return: -1114.3992919921875
global_step=3600, episodic_return: -1006.8847045898438
global_step=3800, episodic_return: -1537.2470703125
global_step=4000, episodic_return: -892.2144165039062
SPS: 139
global_step=4200, episodic_return: -873.4273071289062
global_step=4400, episodic_return: -970.099365234375
global_step=4600, episodic_return: -1273.4256591796875
global_step=4800, episodic_return: -883.4644775390625
global_step=5000, episodic_return: -1390.6402587890625
global_step=5200, episodic_return: -1240.347900390625
global_step=5400, episodic_return: -1428.7197265625
global_step=5600, episodic_return: -1308.0582275390625
global_step=5800, episodic_return: -1072.13134765625
global_step=6000, episodic_return: -1588.7373046875
SPS: 141
global_step=6200, episodic_return: -1088.590087890625
global_step=6400, episodic_return: -1261.3875732421875
global_step=6600, episodic_return: -1374.169677734375
global_step=6800, episodic_return: -1183.30419921875
global_step=7000, episodic_return: -1249.14404296875
global_step=7200, episodic_return: -1320.975341796875
global_step=7400, episodic_return: -1428.3094482421875
global_step=7600, episodic_return: -966.7974853515625
global_step=7800, episodic_return: -971.5096435546875
global_step=8000, episodic_return: -1200.84619140625
SPS: 143
global_step=8200, episodic_return: -1038.0780029296875
global_step=8400, episodic_return: -1169.29296875
global_step=8600, episodic_return: -1346.54345703125
global_step=8800, episodic_return: -1469.8941650390625
global_step=9000, episodic_return: -977.0306396484375
global_step=9200, episodic_return: -1100.5198974609375
global_step=9400, episodic_return: -954.2393188476562
global_step=9600, episodic_return: -1164.295166015625
global_step=9800, episodic_return: -1623.8992919921875
global_step=10000, episodic_return: -1043.9154052734375
global_step=10200, episodic_return: -1132.1884765625
SPS: 145
global_step=10400, episodic_return: -1489.2144775390625
global_step=10600, episodic_return: -1291.9140625
global_step=10800, episodic_return: -892.4321899414062
global_step=11000, episodic_return: -1705.94482421875
global_step=11200, episodic_return: -966.693359375
global_step=11400, episodic_return: -1178.2042236328125
global_step=11600, episodic_return: -1266.682373046875
global_step=11800, episodic_return: -1072.990966796875
global_step=12000, episodic_return: -964.5460815429688
global_step=12200, episodic_return: -766.8938598632812
SPS: 146
global_step=12400, episodic_return: -1086.543212890625
global_step=12600, episodic_return: -829.8363037109375
global_step=12800, episodic_return: -1537.0560302734375
global_step=13000, episodic_return: -1067.3763427734375
global_step=13200, episodic_return: -972.0772094726562
global_step=13400, episodic_return: -1590.5263671875
global_step=13600, episodic_return: -1159.4669189453125
global_step=13800, episodic_return: -1030.458984375
global_step=14000, episodic_return: -1070.382568359375
global_step=14200, episodic_return: -1522.8623046875
SPS: 146
global_step=14400, episodic_return: -1085.461669921875
global_step=14600, episodic_return: -788.3280639648438
global_step=14800, episodic_return: -1018.0681762695312
global_step=15000, episodic_return: -1057.1600341796875
global_step=15200, episodic_return: -1576.7752685546875
global_step=15400, episodic_return: -975.3172607421875
global_step=15600, episodic_return: -1386.6844482421875
global_step=15800, episodic_return: -1181.3243408203125
global_step=16000, episodic_return: -926.6532592773438
global_step=16200, episodic_return: -920.694091796875
SPS: 146
global_step=16400, episodic_return: -872.72265625
global_step=16600, episodic_return: -946.2200927734375
global_step=16800, episodic_return: -852.5745849609375
global_step=17000, episodic_return: -1318.7335205078125
global_step=17200, episodic_return: -1081.2154541015625
global_step=17400, episodic_return: -965.4647216796875
global_step=17600, episodic_return: -959.4277954101562
global_step=17800, episodic_return: -1649.6990966796875
global_step=18000, episodic_return: -1635.426025390625
global_step=18200, episodic_return: -1235.968505859375
global_step=18400, episodic_return: -1155.977783203125
SPS: 147
global_step=18600, episodic_return: -1637.8402099609375
global_step=18800, episodic_return: -1720.3284912109375
global_step=19000, episodic_return: -1255.388916015625
global_step=19200, episodic_return: -1387.682861328125
global_step=19400, episodic_return: -910.1647338867188
global_step=19600, episodic_return: -1709.0638427734375
global_step=19800, episodic_return: -901.1065673828125
global_step=20000, episodic_return: -1186.2474365234375
global_step=20200, episodic_return: -755.4905395507812
global_step=20400, episodic_return: -1276.180908203125
SPS: 147
global_step=20600, episodic_return: -1443.6661376953125
global_step=20800, episodic_return: -917.6478271484375
global_step=21000, episodic_return: -991.971923828125
global_step=21200, episodic_return: -1545.197265625
global_step=21400, episodic_return: -972.2088012695312
global_step=21600, episodic_return: -764.3396606445312
global_step=21800, episodic_return: -1525.9412841796875
global_step=22000, episodic_return: -967.3534545898438
global_step=22200, episodic_return: -1362.0823974609375
global_step=22400, episodic_return: -1204.7445068359375
SPS: 145
global_step=22600, episodic_return: -1370.21240234375
global_step=22800, episodic_return: -1063.8275146484375
global_step=23000, episodic_return: -1802.383544921875
global_step=23200, episodic_return: -1295.28369140625
global_step=23400, episodic_return: -905.7782592773438
global_step=23600, episodic_return: -1470.5428466796875
global_step=23800, episodic_return: -880.8983764648438
global_step=24000, episodic_return: -1532.5391845703125
global_step=24200, episodic_return: -1428.9124755859375
global_step=24400, episodic_return: -1474.009033203125
SPS: 139
global_step=24600, episodic_return: -972.3109741210938
global_step=24800, episodic_return: -1087.5032958984375
global_step=25000, episodic_return: -948.9241943359375
global_step=25200, episodic_return: -1014.9671630859375
global_step=25400, episodic_return: -925.9376220703125
global_step=25600, episodic_return: -975.081298828125
global_step=25800, episodic_return: -1490.7691650390625
global_step=26000, episodic_return: -1073.484619140625
global_step=26200, episodic_return: -962.1348876953125
global_step=26400, episodic_return: -1022.156982421875
global_step=26600, episodic_return: -1095.839599609375
SPS: 135
global_step=26800, episodic_return: -1375.75732421875
global_step=27000, episodic_return: -1057.1612548828125
global_step=27200, episodic_return: -1127.715576171875
global_step=27400, episodic_return: -899.0582275390625
global_step=27600, episodic_return: -1149.361083984375
global_step=27800, episodic_return: -1190.0809326171875
