global_step=200, episodic_return: -861.4152221679688
global_step=400, episodic_return: -1368.0926513671875
global_step=600, episodic_return: -1115.7139892578125
global_step=800, episodic_return: -1363.828125
global_step=1000, episodic_return: -874.253173828125
global_step=1200, episodic_return: -1164.764892578125
global_step=1400, episodic_return: -1221.4544677734375
global_step=1600, episodic_return: -1182.7998046875
global_step=1800, episodic_return: -1516.3914794921875
global_step=2000, episodic_return: -1268.8646240234375
SPS: 93
global_step=2200, episodic_return: -1278.6495361328125
global_step=2400, episodic_return: -837.2269897460938
global_step=2600, episodic_return: -1753.409912109375
global_step=2800, episodic_return: -902.7466430664062
global_step=3000, episodic_return: -1273.829345703125
global_step=3200, episodic_return: -909.9491577148438
global_step=3400, episodic_return: -971.00439453125
global_step=3600, episodic_return: -1010.70849609375
global_step=3800, episodic_return: -1511.857666015625
global_step=4000, episodic_return: -956.3436889648438
SPS: 97
global_step=4200, episodic_return: -959.6998901367188
global_step=4400, episodic_return: -750.448486328125
global_step=4600, episodic_return: -1208.560546875
global_step=4800, episodic_return: -762.1167602539062
global_step=5000, episodic_return: -1340.3421630859375
global_step=5200, episodic_return: -1172.2701416015625
global_step=5400, episodic_return: -1378.0018310546875
global_step=5600, episodic_return: -1287.152587890625
global_step=5800, episodic_return: -987.7665405273438
global_step=6000, episodic_return: -1552.00048828125
SPS: 97
global_step=6200, episodic_return: -983.2656860351562
global_step=6400, episodic_return: -1235.5447998046875
global_step=6600, episodic_return: -1354.93115234375
global_step=6800, episodic_return: -1076.314453125
global_step=7000, episodic_return: -1189.15185546875
global_step=7200, episodic_return: -1299.120849609375
global_step=7400, episodic_return: -1415.960693359375
global_step=7600, episodic_return: -880.42919921875
global_step=7800, episodic_return: -849.2559204101562
global_step=8000, episodic_return: -1182.2706298828125
SPS: 98
global_step=8200, episodic_return: -1046.7420654296875
global_step=8400, episodic_return: -1162.2039794921875
global_step=8600, episodic_return: -1334.32177734375
global_step=8800, episodic_return: -1455.86328125
global_step=9000, episodic_return: -958.9071044921875
global_step=9200, episodic_return: -1086.2496337890625
global_step=9400, episodic_return: -970.127685546875
global_step=9600, episodic_return: -1138.7642822265625
global_step=9800, episodic_return: -1606.37646484375
global_step=10000, episodic_return: -1036.0633544921875
global_step=10200, episodic_return: -1119.9937744140625
SPS: 99
global_step=10400, episodic_return: -1481.4635009765625
global_step=10600, episodic_return: -1290.6317138671875
global_step=10800, episodic_return: -899.3139038085938
global_step=11000, episodic_return: -1703.7701416015625
global_step=11200, episodic_return: -940.2176513671875
global_step=11400, episodic_return: -1176.7191162109375
global_step=11600, episodic_return: -1271.1876220703125
global_step=11800, episodic_return: -1071.771240234375
global_step=12000, episodic_return: -966.8849487304688
global_step=12200, episodic_return: -885.7028198242188
SPS: 99
global_step=12400, episodic_return: -1077.4793701171875
global_step=12600, episodic_return: -992.5332641601562
global_step=12800, episodic_return: -1544.35498046875
global_step=13000, episodic_return: -1068.7197265625
global_step=13200, episodic_return: -1099.1494140625
global_step=13400, episodic_return: -1609.1021728515625
global_step=13600, episodic_return: -1109.381591796875
global_step=13800, episodic_return: -967.468505859375
global_step=14000, episodic_return: -1000.01513671875
global_step=14200, episodic_return: -1525.54150390625
SPS: 99
