
global_step=200, episodic_return: -861.6904907226562
global_step=400, episodic_return: -1367.6783447265625
global_step=600, episodic_return: -1115.9378662109375
global_step=800, episodic_return: -1363.710205078125
global_step=1000, episodic_return: -883.2799682617188
global_step=1200, episodic_return: -1164.57080078125
global_step=1400, episodic_return: -1221.17919921875
global_step=1600, episodic_return: -1182.784912109375
global_step=1800, episodic_return: -1516.76220703125
global_step=2000, episodic_return: -1269.006591796875
SPS: 69
global_step=2200, episodic_return: -1295.759765625
global_step=2400, episodic_return: -818.0794677734375
global_step=2600, episodic_return: -1767.5001220703125
global_step=2800, episodic_return: -871.4462890625
global_step=3000, episodic_return: -1296.38916015625
global_step=3200, episodic_return: -901.669189453125
global_step=3400, episodic_return: -1103.17138671875
global_step=3600, episodic_return: -1007.5751342773438
global_step=3800, episodic_return: -1538.8138427734375
global_step=4000, episodic_return: -903.221923828125
SPS: 70
global_step=4200, episodic_return: -762.9508056640625
global_step=4400, episodic_return: -967.9708862304688
global_step=4600, episodic_return: -1269.2838134765625
global_step=4800, episodic_return: -902.0125122070312
global_step=5000, episodic_return: -1377.1844482421875
global_step=5200, episodic_return: -1205.3424072265625
global_step=5400, episodic_return: -1417.19189453125
global_step=5600, episodic_return: -1303.4908447265625
global_step=5800, episodic_return: -1177.69873046875
global_step=6000, episodic_return: -1587.133544921875
SPS: 71
global_step=6200, episodic_return: -1006.2236938476562
global_step=6400, episodic_return: -1215.1827392578125
global_step=6600, episodic_return: -1345.5516357421875
global_step=6800, episodic_return: -1073.904296875
global_step=7000, episodic_return: -1182.2681884765625
global_step=7200, episodic_return: -1295.8536376953125
global_step=7400, episodic_return: -1407.51806640625
global_step=7600, episodic_return: -872.7452392578125
global_step=7800, episodic_return: -941.1665649414062
global_step=8000, episodic_return: -1179.93505859375
SPS: 72
global_step=8200, episodic_return: -1049.4285888671875
global_step=8400, episodic_return: -1163.8236083984375
global_step=8600, episodic_return: -1335.4488525390625
global_step=8800, episodic_return: -1458.0126953125
global_step=9000, episodic_return: -886.5955200195312
global_step=9200, episodic_return: -1084.493896484375
global_step=9400, episodic_return: -967.3277587890625
global_step=9600, episodic_return: -1155.35888671875
global_step=9800, episodic_return: -1608.4293212890625
global_step=10000, episodic_return: -1046.9600830078125
global_step=10200, episodic_return: -1119.292236328125
SPS: 72
global_step=10400, episodic_return: -1468.754638671875
global_step=10600, episodic_return: -1257.8475341796875
global_step=10800, episodic_return: -908.660888671875
global_step=11000, episodic_return: -1701.005859375
global_step=11200, episodic_return: -923.4073486328125
global_step=11400, episodic_return: -1172.9488525390625
global_step=11600, episodic_return: -1200.945068359375
global_step=11800, episodic_return: -1069.7115478515625
global_step=12000, episodic_return: -996.2195434570312
global_step=12200, episodic_return: -894.5170288085938
SPS: 72
global_step=12400, episodic_return: -1001.6654052734375
global_step=12600, episodic_return: -918.370361328125
global_step=12800, episodic_return: -1498.869140625
global_step=13000, episodic_return: -1020.0067138671875
global_step=13200, episodic_return: -1099.995849609375
global_step=13400, episodic_return: -1554.07861328125
global_step=13600, episodic_return: -1080.81103515625
global_step=13800, episodic_return: -1067.327392578125
global_step=14000, episodic_return: -965.6610107421875
global_step=14200, episodic_return: -1499.1767578125
SPS: 72
global_step=14400, episodic_return: -1074.0247802734375
global_step=14600, episodic_return: -905.6354370117188
global_step=14800, episodic_return: -1044.3648681640625
global_step=15000, episodic_return: -1063.1337890625
global_step=15200, episodic_return: -1569.923828125
global_step=15400, episodic_return: -996.361572265625
global_step=15600, episodic_return: -1416.7958984375
global_step=15800, episodic_return: -1187.829345703125
global_step=16000, episodic_return: -999.8966674804688
global_step=16200, episodic_return: -994.9680786132812
SPS: 72
global_step=16400, episodic_return: -995.095458984375
global_step=16600, episodic_return: -878.7304077148438
global_step=16800, episodic_return: -898.1277465820312
global_step=17000, episodic_return: -1298.6483154296875
global_step=17200, episodic_return: -1094.5162353515625
global_step=17400, episodic_return: -877.8926391601562
global_step=17600, episodic_return: -879.7109985351562
global_step=17800, episodic_return: -1644.841552734375
global_step=18000, episodic_return: -1652.6602783203125
global_step=18200, episodic_return: -1179.81591796875
global_step=18400, episodic_return: -1079.97412109375
SPS: 72
global_step=18600, episodic_return: -1628.9088134765625
global_step=18800, episodic_return: -1743.0596923828125
global_step=19000, episodic_return: -1215.271728515625
global_step=19200, episodic_return: -1379.5009765625
global_step=19400, episodic_return: -1007.193115234375
global_step=19600, episodic_return: -1708.833251953125
global_step=19800, episodic_return: -1032.0567626953125
global_step=20000, episodic_return: -1190.400390625
global_step=20200, episodic_return: -770.96826171875
global_step=20400, episodic_return: -1217.4495849609375
SPS: 72
global_step=20600, episodic_return: -1411.7496337890625
global_step=20800, episodic_return: -1048.151123046875
global_step=21000, episodic_return: -1043.288330078125
global_step=21200, episodic_return: -1507.9945068359375
global_step=21400, episodic_return: -916.0159912109375
global_step=21600, episodic_return: -905.9674682617188
global_step=21800, episodic_return: -1510.05224609375
global_step=22000, episodic_return: -1017.283447265625
global_step=22200, episodic_return: -1337.0103759765625
global_step=22400, episodic_return: -1080.166259765625
SPS: 72
global_step=22600, episodic_return: -1344.4189453125
global_step=22800, episodic_return: -994.6651611328125
global_step=23000, episodic_return: -1790.4808349609375
global_step=23200, episodic_return: -1274.389892578125
global_step=23400, episodic_return: -905.7764892578125
global_step=23600, episodic_return: -1459.5455322265625
global_step=23800, episodic_return: -1043.8131103515625
global_step=24000, episodic_return: -1521.8079833984375
global_step=24200, episodic_return: -1466.5909423828125
global_step=24400, episodic_return: -1471.069580078125
SPS: 71
global_step=24600, episodic_return: -1024.9822998046875
global_step=24800, episodic_return: -1135.1646728515625
global_step=25000, episodic_return: -1065.437255859375
global_step=25200, episodic_return: -1040.2550048828125
global_step=25400, episodic_return: -1185.5426025390625
global_step=25600, episodic_return: -1108.0616455078125
global_step=25800, episodic_return: -1531.45458984375
global_step=26000, episodic_return: -1056.869384765625
global_step=26200, episodic_return: -1092.7991943359375
global_step=26400, episodic_return: -1100.747314453125
global_step=26600, episodic_return: -1060.73046875
SPS: 70
global_step=26800, episodic_return: -1398.4757080078125
global_step=27000, episodic_return: -1139.8154296875
global_step=27200, episodic_return: -1130.2098388671875
global_step=27400, episodic_return: -1049.9713134765625
global_step=27600, episodic_return: -1196.138427734375
global_step=27800, episodic_return: -1230.457763671875
global_step=28000, episodic_return: -1164.8038330078125
global_step=28200, episodic_return: -1168.301025390625
global_step=28400, episodic_return: -1034.392333984375
global_step=28600, episodic_return: -1740.38916015625
SPS: 69
global_step=28800, episodic_return: -1122.00634765625
global_step=29000, episodic_return: -1158.9271240234375
global_step=29200, episodic_return: -1133.843017578125
global_step=29400, episodic_return: -1506.3199462890625
global_step=29600, episodic_return: -1139.137939453125
global_step=29800, episodic_return: -1079.9560546875
global_step=30000, episodic_return: -1434.2890625
global_step=30200, episodic_return: -1097.5152587890625
global_step=30400, episodic_return: -1138.7794189453125
global_step=30600, episodic_return: -1049.997802734375
SPS: 68
global_step=30800, episodic_return: -1372.7122802734375
global_step=31000, episodic_return: -1220.62744140625
global_step=31200, episodic_return: -1199.853759765625
global_step=31400, episodic_return: -1173.65380859375
global_step=31600, episodic_return: -1190.220947265625
global_step=31800, episodic_return: -1027.666748046875
global_step=32000, episodic_return: -1343.0323486328125
global_step=32200, episodic_return: -1137.1500244140625
global_step=32400, episodic_return: -1366.9249267578125
global_step=32600, episodic_return: -1181.53857421875
SPS: 68
global_step=32800, episodic_return: -1142.5933837890625
global_step=33000, episodic_return: -1415.2625732421875
global_step=33200, episodic_return: -1117.7421875
global_step=33400, episodic_return: -1152.20458984375
global_step=33600, episodic_return: -1169.6488037109375
global_step=33800, episodic_return: -1115.8282470703125
global_step=34000, episodic_return: -1131.68701171875
global_step=34200, episodic_return: -1151.58154296875
global_step=34400, episodic_return: -1006.4595336914062
global_step=34600, episodic_return: -1066.5069580078125
global_step=34800, episodic_return: -1030.2288818359375
SPS: 67
global_step=35000, episodic_return: -1153.885498046875
global_step=35200, episodic_return: -1053.3369140625
global_step=35400, episodic_return: -1072.7000732421875
global_step=35600, episodic_return: -966.9201049804688
global_step=35800, episodic_return: -1000.9700317382812
global_step=36000, episodic_return: -1066.750244140625
global_step=36200, episodic_return: -1073.797607421875
global_step=36400, episodic_return: -1079.281494140625
global_step=36600, episodic_return: -1262.188232421875
global_step=36800, episodic_return: -1217.8828125
SPS: 66
global_step=37000, episodic_return: -1057.6722412109375
global_step=37200, episodic_return: -1062.98681640625
global_step=37400, episodic_return: -1102.5521240234375
global_step=37600, episodic_return: -899.1598510742188
global_step=37800, episodic_return: -1258.38720703125
