
global_step=200, episodic_return: -861.7479248046875
global_step=400, episodic_return: -1368.564697265625
global_step=600, episodic_return: -1116.5477294921875
global_step=800, episodic_return: -1364.2689208984375
global_step=1000, episodic_return: -883.9293212890625
global_step=1200, episodic_return: -1165.0489501953125
global_step=1400, episodic_return: -1222.277587890625
global_step=1600, episodic_return: -1182.9990234375
global_step=1800, episodic_return: -1517.076416015625
global_step=2000, episodic_return: -1269.186279296875
SPS: 56
global_step=2200, episodic_return: -1304.7728271484375
global_step=2400, episodic_return: -747.82080078125
global_step=2600, episodic_return: -1778.2513427734375
global_step=2800, episodic_return: -874.1845092773438
global_step=3000, episodic_return: -1304.7225341796875
global_step=3200, episodic_return: -902.48291015625
global_step=3400, episodic_return: -1163.66162109375
global_step=3600, episodic_return: -894.5680541992188
global_step=3800, episodic_return: -1548.8045654296875
global_step=4000, episodic_return: -779.5694580078125
SPS: 57
global_step=4200, episodic_return: -969.5620727539062
global_step=4400, episodic_return: -973.2527465820312
global_step=4600, episodic_return: -1281.684326171875
global_step=4800, episodic_return: -884.3131713867188
global_step=5000, episodic_return: -1403.922607421875
global_step=5200, episodic_return: -1262.5452880859375
global_step=5400, episodic_return: -1442.4853515625
global_step=5600, episodic_return: -1316.3426513671875
global_step=5800, episodic_return: -1182.3297119140625
global_step=6000, episodic_return: -1602.5565185546875
SPS: 57
global_step=6200, episodic_return: -1027.4857177734375
global_step=6400, episodic_return: -1274.51513671875
global_step=6600, episodic_return: -1418.2874755859375
global_step=6800, episodic_return: -1228.073486328125
global_step=7000, episodic_return: -1295.6015625
global_step=7200, episodic_return: -1349.1146240234375
global_step=7400, episodic_return: -1459.6748046875
global_step=7600, episodic_return: -972.3291625976562
global_step=7800, episodic_return: -1073.073974609375
global_step=8000, episodic_return: -1253.154052734375
SPS: 58
global_step=8200, episodic_return: -827.37451171875
global_step=8400, episodic_return: -1170.789794921875
global_step=8600, episodic_return: -1361.259033203125
global_step=8800, episodic_return: -1492.9090576171875
global_step=9000, episodic_return: -880.3027954101562
global_step=9200, episodic_return: -1144.5281982421875
global_step=9400, episodic_return: -855.89013671875
global_step=9600, episodic_return: -1173.7823486328125
global_step=9800, episodic_return: -1618.2462158203125
global_step=10000, episodic_return: -1028.5316162109375
global_step=10200, episodic_return: -1136.84130859375
SPS: 58
global_step=10400, episodic_return: -1490.5205078125
global_step=10600, episodic_return: -1306.390869140625
global_step=10800, episodic_return: -891.0548095703125
global_step=11000, episodic_return: -1716.3660888671875
global_step=11200, episodic_return: -1064.1865234375
global_step=11400, episodic_return: -1175.982421875
global_step=11600, episodic_return: -1294.9686279296875
global_step=11800, episodic_return: -1076.6583251953125
global_step=12000, episodic_return: -985.5582275390625
global_step=12200, episodic_return: -879.0015258789062
SPS: 58
global_step=12400, episodic_return: -1187.5509033203125
global_step=12600, episodic_return: -875.2950439453125
global_step=12800, episodic_return: -1574.7208251953125
global_step=13000, episodic_return: -1129.597900390625
global_step=13200, episodic_return: -1289.7020263671875
global_step=13400, episodic_return: -1604.8377685546875
global_step=13600, episodic_return: -1222.34765625
global_step=13800, episodic_return: -949.47802734375
global_step=14000, episodic_return: -1094.906982421875
global_step=14200, episodic_return: -1542.3890380859375
SPS: 58
global_step=14400, episodic_return: -1216.8427734375
global_step=14600, episodic_return: -875.3277587890625
global_step=14800, episodic_return: -1162.65966796875
global_step=15000, episodic_return: -947.8916015625
global_step=15200, episodic_return: -1588.8670654296875
global_step=15400, episodic_return: -1180.2821044921875
global_step=15600, episodic_return: -1467.2286376953125
global_step=15800, episodic_return: -1283.8656005859375
global_step=16000, episodic_return: -980.2728881835938
